,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,5,6816,8,15,2024,자곡로11길 28,202607~202806,갱신,-,4692,16,아파트
2,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,5,6527,7,15,2024,자곡로11길 28,202607~202806,갱신,-,4692,16,아파트
3,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,5,17080,19,3,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
4,서울특별시 강남구 일원동,711,711,0,수서,월세,59.96,202606,5,10000,210,10,1992,양재대로55길 12,202608~202808,갱신,-,10000,160,아파트
5,서울특별시 강남구 일원동,688,688,0,상록스타힐스,월세,59.963,202606,5,14403,168,19,2022,영동대로 16,202607~202807,신규,-,,,아파트
6,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,5,23356,26,9,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
7,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,17265,19,8,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
8,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,16965,21,7,2024,자곡로11길 28,202607~202806,갱신,-,11662,40,아파트
9,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,17265,19,1,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
10,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.9,202606,5,24940,32,8,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
11,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,5,6627,7,1,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
12,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,17265,19,5,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
13,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,5,6627,7,12,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
14,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,5,11370,44,5,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
15,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,17265,19,10,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
16,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,17265,19,9,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
17,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,전세,49.86,202606,5,70000,0,13,1992,개포로109길 9,202607~202807,신규,-,,,아파트
18,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,월세,39.53,202606,5,5000,180,2,1992,개포로109길 9,202607~202807,신규,-,,,아파트
19,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,전세,60,202606,5,52250,0,10,1992,개포로109길 21,202607~202807,갱신,-,49770,0,아파트
20,서울특별시 강남구 자곡동,687,687,0,래미안포레,전세,59.97,202606,5,40398,0,1,2014,밤고개로21길 25,202607~202806,갱신,-,38475,0,아파트
21,서울특별시 강남구 자곡동,687,687,0,래미안포레,전세,59.97,202606,5,40398,0,9,2014,밤고개로21길 25,202607~202806,갱신,-,38475,0,아파트
22,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,5,15558,53,10,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
23,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,5,23356,26,6,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
24,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,5,17070,17,4,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
25,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.9,202606,4,23200,26,3,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
26,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6916,8,10,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
27,서울특별시 강남구 일원동,688,688,0,상록스타힐스,월세,29.497,202606,4,24278,30,2,2022,영동대로 16,202607~202807,신규,-,,,아파트
28,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.9,202606,4,23200,26,6,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
29,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,4,16070,19,3,2024,자곡로11길 28,202607~202806,갱신,-,11662,40,아파트
30,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,10965,50,6,2024,자곡로11길 28,202607~202806,갱신,-,11662,40,아파트
31,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,8,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
32,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,18706,24,3,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
33,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,3,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
34,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,18706,24,15,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
35,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,12,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
36,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,2,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
37,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6916,8,5,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
38,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,7,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
39,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,3,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
40,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,4,17080,19,7,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
41,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6916,8,4,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
42,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,8,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
43,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,4,23356,26,9,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
44,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,9,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
45,서울특별시 강남구 논현동,202-7,202,7,리스트강남,월세,45.45,202606,4,16891,77,15,2022,봉은사로 125,202607~202807,갱신,-,12883,83,아파트
46,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,전세,49.86,202606,4,53500,0,11,1992,개포로109길 9,202607~202807,갱신,사용,51000,0,아파트
47,서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,전세,59.888,202606,4,105000,0,4,2019,선릉로 8,202608~202808,갱신,사용,105000,0,아파트
48,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,7,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
49,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,8,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
50,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,4,23356,26,5,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
51,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,16545,17,8,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
52,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6916,8,11,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
53,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,11165,50,6,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
54,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,12,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
55,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,26.54,202606,4,13474,17,3,2024,자곡로11길 28,202607~202806,갱신,-,8892,30,아파트
56,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,4,17556,60,1,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
57,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.6,202606,4,17080,19,3,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
58,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,5,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
59,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,26.54,202606,4,13055,15,6,2024,자곡로11길 28,202607~202806,갱신,-,9386,32,아파트
60,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,4,23356,26,9,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
61,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,15,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
62,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,15245,24,6,2024,자곡로11길 28,202607~202806,갱신,-,11662,40,아파트
63,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6916,8,11,2024,자곡로11길 28,202607~202806,갱신,-,4968,17,아파트
64,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,44.89,202606,4,8556,86,3,2024,자곡로11길 28,202607~202806,갱신,-,16720,57,아파트
65,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,17265,19,5,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
66,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,36.84,202606,4,10465,52,4,2024,자곡로11길 28,202607~202806,갱신,-,12348,42,아파트
67,서울특별시 강남구 자곡동,138-2,138,2,LH수서2단지아파트,월세,14.69,202606,4,6527,7,13,2024,자곡로11길 28,202607~202806,갱신,-,4692,16,아파트
