"행정구역시도코드","가구총소득구간코드","피곤함정도코드","삶만족도코드","(주행동시간량_921) 출근","(주행동시간량_922) 퇴근"
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,0,0
11,,1,1,120,90
11,,1,1,20,10
11,,1,1,30,50
11,,1,1,30,70
11,,1,1,40,20
11,,1,1,40,40
11,,1,1,40,40
11,,1,1,40,50
11,,1,1,40,60
11,,1,1,50,60
11,,1,1,60,60
11,,1,1,70,0
11,,1,1,70,60
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,0
11,,1,2,0,20
11,,1,2,0,60
11,,1,2,10,10
11,,1,2,130,120
11,,1,2,130,60
11,,1,2,130,70
11,,1,2,20,0
11,,1,2,20,10
11,,1,2,20,10
11,,1,2,20,20
11,,1,2,20,20
11,,1,2,20,20
11,,1,2,20,30
11,,1,2,20,30
11,,1,2,20,30
11,,1,2,20,60
11,,1,2,30,0
11,,1,2,30,0
11,,1,2,30,0
11,,1,2,30,0
11,,1,2,30,120
11,,1,2,30,20
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,30
11,,1,2,30,40
11,,1,2,40,0
11,,1,2,40,210
11,,1,2,40,30
11,,1,2,40,30
11,,1,2,40,30
11,,1,2,40,40
11,,1,2,40,40
11,,1,2,40,50
11,,1,2,40,50
11,,1,2,40,60
11,,1,2,50,0
11,,1,2,50,0
11,,1,2,50,140
11,,1,2,50,40
11,,1,2,50,40
11,,1,2,50,40
11,,1,2,50,40
11,,1,2,50,50
11,,1,2,50,50
11,,1,2,50,70
11,,1,2,50,70
11,,1,2,60,0
11,,1,2,60,40
11,,1,2,60,50
11,,1,2,60,60
11,,1,2,60,60
11,,1,2,60,60
11,,1,2,60,60
11,,1,2,60,70
11,,1,2,70,60
11,,1,2,70,60
11,,1,2,70,60
11,,1,2,70,70
11,,1,2,70,90
11,,1,2,80,120
11,,1,2,80,20
11,,1,2,80,60
11,,1,2,80,70
11,,1,2,80,70
11,,1,2,80,80
11,,1,2,80,90
11,,1,2,90,40
11,,1,2,90,60
11,,1,2,90,70
11,,1,2,90,70
11,,1,2,90,80
11,,1,2,90,90
11,,1,2,90,90
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
11,,1,3,0,0
