NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,경기도 수원시 영통구 하동,956,956,0,휴먼시아32단지아파트,월세,36.87,202606,5,2900,20,24,2011,광교중앙로 247,202607~202806,갱신,-,2762,19,아파트
2,경기도 수원시 영통구 하동,992,992,0,호수마을광교상록아파트,월세,59.934,202606,4,26112,19,21,2012,법조로150번길 19,202607~202807,신규,-,,,아파트
3,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,월세,59.39,202606,3,5000,150,10,1999,봉영로1517번길 27,202608~202808,신규,-,,,아파트
4,경기도 수원시 영통구 영통동,1054-3,1054,3,황골마을한국,전세,59.99,202606,3,27300,0,20,1998,봉영로1770번길 21,202607~202807,갱신,사용,26000,0,아파트
5,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,월세,59.99,202606,3,5000,145,9,1997,영통로 498,202607~202807,신규,-,,,아파트
6,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,전세,59.99,202606,3,32000,0,1,1997,영통로 498,202610~202810,신규,-,,,아파트
7,경기도 수원시 영통구 매탄동,1230,1230,0,매탄레이크파크,월세,49.95,202606,3,2000,95,10,1999,매영로 132,202609~202809,신규,-,,,아파트
8,경기도 수원시 영통구 매탄동,810-4,810,4,성일,월세,39.99,202606,3,1000,63,8,1989,인계로 239,202607~202806,갱신,사용,1000,60,아파트
9,경기도 수원시 영통구 매탄동,1352,1352,0,매탄위브하늘채,전세,59.9845,202606,3,44500,0,2,2008,효원로 363,202608~202808,신규,-,,,아파트
10,경기도 수원시 영통구 원천동,35,35,0,주공,전세,41.3,202606,3,23000,0,9,1987,중부대로271번길 27-9,202607~202806,신규,-,,,아파트
11,경기도 수원시 영통구 매탄동,810-4,810,4,성일,월세,49.68,202606,2,2000,87,8,1988,인계로 239,202607~202807,신규,-,,,아파트
12,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,전세,49.59,202606,2,24000,0,2,1997,영통로290번길 26,202609~202809,신규,-,,,아파트
13,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,월세,59.99,202606,2,5000,135,12,1997,영통로 498,202607~202807,신규,-,,,아파트
14,경기도 수원시 영통구 매탄동,1230,1230,0,매탄레이크파크,전세,59.99,202606,2,28000,0,3,1999,매영로 132,202608~202808,신규,-,,,아파트
15,경기도 수원시 영통구 하동,956,956,0,휴먼시아32단지아파트,월세,46.75,202606,2,4764,32,3,2011,광교중앙로 247,202607~202806,갱신,-,4537,31,아파트
16,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,전세,59.39,202606,2,33600,0,16,1999,봉영로1517번길 27,202606~202806,갱신,사용,32000,0,아파트
17,경기도 수원시 영통구 원천동,606,606,0,광교호반베르디움,월세,59.9306,202606,1,5000,160,30,2014,광교호수공원로 45,202608~202808,갱신,사용,5000,160,아파트
18,경기도 수원시 영통구 원천동,606,606,0,광교호반베르디움,전세,59.9306,202606,1,55000,0,24,2014,광교호수공원로 45,202606~202706,갱신,-,50000,0,아파트
19,경기도 수원시 영통구 원천동,35,35,0,주공,전세,41.3,202606,1,20000,0,10,1987,중부대로271번길 27-9,202607~202807,갱신,-,18000,0,아파트
20,경기도 수원시 영통구 원천동,559,559,0,광교원천경기행복주택,월세,16.9,202606,1,4109,7,13,2020,광교중앙로49번길 40,202610~202809,갱신,-,3009,7,아파트
21,경기도 수원시 영통구 영통동,970-3,970,3,벽적골9단지주공,월세,59.39,202606,1,3000,130,17,1999,봉영로1517번길 27,202607~202807,갱신,-,3000,100,아파트
22,경기도 수원시 영통구 하동,992,992,0,호수마을광교상록아파트,월세,59.934,202606,1,20348,12,13,2012,법조로150번길 19,202609~202809,갱신,-,19379,11,아파트
23,경기도 수원시 영통구 하동,992,992,0,호수마을광교상록아파트,월세,59.934,202606,1,5341,49,17,2012,법조로150번길 19,202607~202807,갱신,-,7630,41,아파트
24,경기도 수원시 영통구 매탄동,810-2,810,2,동남,전세,49.68,202606,1,19000,0,2,1989,동수원로 432,202608~202808,신규,-,,,아파트
25,경기도 수원시 영통구 매탄동,810-3,810,3,삼성1,전세,55.16,202606,1,22000,0,15,1988,인계로 219,202607~202807,신규,-,,,아파트
26,경기도 수원시 영통구 원천동,606,606,0,광교호반베르디움,전세,59.9718,202605,31,58500,0,4,2014,광교호수공원로 45,202607~202707,갱신,-,38500,0,아파트
27,경기도 수원시 영통구 원천동,548,548,0,원천레이크파크,월세,59.99,202605,30,3000,130,20,1999,중부대로448번길 28,202606~202806,신규,-,,,아파트
28,경기도 수원시 영통구 매탄동,810-3,810,3,삼성1,전세,55.16,202605,30,22000,0,2,1988,인계로 219,202608~202808,신규,-,,,아파트
29,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,전세,49.71,202605,30,30000,0,1,2002,덕영대로1555번길 20,202606~202806,신규,-,,,아파트
30,경기도 수원시 영통구 원천동,548,548,0,원천레이크파크,전세,59.99,202605,30,18270,0,2,1999,중부대로448번길 28,202606~202706,갱신,사용,18270,0,아파트
31,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,전세,59.99,202605,30,29400,0,7,1997,영통로 498,202607~202807,갱신,사용,28000,0,아파트
32,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,전세,49.71,202605,30,29000,0,3,2002,덕영대로1555번길 20,202607~202807,신규,-,,,아파트
33,경기도 수원시 영통구 영통동,963-2,963,2,신나무실신성,전세,59.965,202605,30,24000,0,6,1997,매영로310번길 12,202607~202807,갱신,사용,23000,0,아파트
34,경기도 수원시 영통구 영통동,1048-2,1048,2,청명마을(주공),전세,59.99,202605,30,31500,0,9,1997,청명북로 81,202607~202807,갱신,사용,30000,0,아파트
35,경기도 수원시 영통구 매탄동,810-4,810,4,성일,전세,39.99,202605,30,18000,0,5,1989,인계로 239,202606~202806,갱신,사용,18000,0,아파트
36,경기도 수원시 영통구 매탄동,810-3,810,3,삼성1,전세,55.16,202605,30,22000,0,2,1988,인계로 219,202608~202808,신규,-,,,아파트
37,경기도 수원시 영통구 영통동,1052-2,1052,2,황골마을(쌍용),월세,59.79,202605,30,30000,5,18,1998,봉영로1744번길 16,202607~202807,신규,-,,,아파트
38,경기도 수원시 영통구 영통동,963-2,963,2,신나무실진흥,월세,59.965,202605,30,3000,120,7,1997,매영로310번길 12,202607~202807,신규,-,,,아파트
39,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,월세,59.99,202605,30,20000,60,3,1997,영통로 498,202607~202807,신규,-,,,아파트
40,경기도 수원시 영통구 하동,956,956,0,휴먼시아32단지아파트,월세,36.87,202605,29,5058,10,24,2011,광교중앙로 247,202607~202806,갱신,-,4917,9,아파트
41,경기도 수원시 영통구 매탄동,1199,1199,0,원천성일,월세,49.94,202605,29,1000,95,9,1992,동탄원천로1109번길 42,202607~202807,신규,-,,,아파트
42,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,전세,59.99,202605,29,31000,0,9,1997,영통로 498,202606~202806,갱신,사용,31000,0,아파트
43,경기도 수원시 영통구 원천동,35,35,0,주공,전세,49.94,202605,29,23000,0,6,1987,중부대로271번길 27-9,202605~202805,갱신,-,20000,0,아파트
44,경기도 수원시 영통구 매탄동,810-2,810,2,동남,전세,49.68,202605,28,17500,0,1,1989,동수원로 432,202608~202808,신규,-,,,아파트
45,경기도 수원시 영통구 영통동,1054-3,1054,3,황골마을한국,전세,59.99,202605,28,33000,0,15,1998,봉영로1770번길 21,202608~202808,신규,-,,,아파트
46,경기도 수원시 영통구 영통동,1054-3,1054,3,황골마을신명,전세,59.95,202605,28,34000,0,14,1997,봉영로1770번길 21,202609~202809,신규,-,,,아파트
47,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,전세,49.59,202605,28,27000,0,20,1997,영통로290번길 25,202608~202808,신규,-,,,아파트
48,경기도 수원시 영통구 영통동,955-1,955,1,황골마을주공1,전세,59.8,202605,28,26250,0,3,1997,영통로 498,202607~202807,갱신,사용,25000,0,아파트
